username,firstname,lastname,accountnumber,pin,balance,accounttype
user1,John,Ng,ACC-392694,801405,8260,SAVINGS
user2,John,Ng,ACC-145468,378095,56691,CURRENT
user3,Zihao,Neo,ACC-760134,708763,42828,CURRENT
user4,Zihao,Wang,ACC-229380,880397,44075,SAVINGS
user5,Zihao,Wang,ACC-613455,547103,63958,SAVINGS
user6,John,Wang,ACC-466086,992362,55586,CURRENT
user7,John,Ng,ACC-470649,760880,88083,SAVINGS
user8,Jingquan,Chen,ACC-678702,556211,30146,CURRENT
user9,Jared,Neo,ACC-653376,420004,1165,CURRENT
user10,Jingquan,Neo,ACC-478371,218961,71234,SAVINGS
user10,Jingquan,Neo,ACC-478372,218961,80000,CURRENT
